id,t[s],q[veh/h],v[km/h]
1,0,0,NaN
1,60,360,111.632
1,120,1500,107.342
1,180,1140,110.835
1,240,1740,91.311
1,300,1440,114.304
1,360,900,102.764
1,420,1620,106.66
1,480,1800,100.692
1,540,1860,95.166
1,600,1680,109.008
1,660,1620,107.309
1,720,2040,96.637
1,780,2040,83.026
1,840,1980,86.771
1,900,2280,73.376
1,960,1680,53.385
1,1020,900,11.338
1,1080,1020,14.225
1,1140,960,10.993
1,1200,840,9.415
1,1260,960,12.975
1,1320,900,11.725
1,1380,780,8.559
1,1440,780,10.37
1,1500,1140,18.73
1,1560,660,9.171
1,1620,1320,18.326
1,1680,1260,18.539
1,1740,780,9.798
1,1800,960,11.025
1,1860,840,8.338
1,1920,1020,12.034
1,1980,960,14.096
1,2040,1080,13.258
1,2100,1320,19.96
1,2160,960,12.462
1,2220,960,15.792
1,2280,960,14.654
1,2340,900,11.442
1,2400,1140,16.699
1,2460,840,9.54
1,2520,660,11.617
1,2580,1140,18.4
1,2640,660,7.19
1,2700,1080,15.858
1,2760,1140,20.646
1,2820,1080,15.538
1,2880,720,8.035
1,2940,1140,16.365
1,3000,1140,17.024
1,3060,1200,19.204
1,3120,1320,19.352
1,3180,540,6.923
1,3240,960,11.574
1,3300,720,10.975
1,3360,1080,14.623
1,3420,1140,14.812
1,3480,1080,13.909
1,3540,960,10.986
1,3600,0,NaN
2,0,0,NaN
2,60,660,109.658
2,120,1080,90.258
2,180,720,99.214
2,240,1380,87.146
2,300,1260,88.63
2,360,660,113.651
2,420,900,103.153
2,480,1140,91.662
2,540,1560,91.973
2,600,1380,88.361
2,660,1200,88.933
2,720,1500,79.841
2,780,1560,84.458
2,840,1560,68.745
2,900,2040,80.854
2,960,1500,50.667
2,1020,360,4.638
2,1080,540,8.995
2,1140,480,6.178
2,1200,660,15.127
2,1260,420,5.244
2,1320,600,7.648
2,1380,420,7.13
2,1440,600,11.134
2,1500,540,7.726
2,1560,540,5.61
2,1620,300,4.914
2,1680,420,6.828
2,1740,540,8.053
2,1800,660,7.844
2,1860,600,7.202
2,1920,420,6.522
2,1980,600,9.482
2,2040,420,6.851
2,2100,600,8.242
2,2160,660,8.067
2,2220,480,4.872
2,2280,360,7.963
2,2340,420,7.18
2,2400,480,10.797
2,2460,600,10.978
2,2520,660,8.772
2,2580,480,5.684
2,2640,660,7.915
2,2700,600,9.495
2,2760,480,7.339
2,2820,600,9.087
2,2880,660,9.305
2,2940,480,7.227
2,3000,360,7.047
2,3060,480,5.598
2,3120,840,13.119
2,3180,720,12.888
2,3240,600,7.494
2,3300,540,6.942
2,3360,420,7.18
2,3420,480,9.17
2,3480,480,9.226
2,3540,360,11.939
3,0,120,125.314
3,60,240,116.092
3,120,960,110.593
3,180,1380,113.184
3,240,1260,102.858
3,300,1740,96.608
3,360,1020,109.716
3,420,1560,96.037
3,480,1560,103.771
3,540,1920,95.215
3,600,2040,93.372
3,660,1800,109.449
3,720,1980,96.405
3,780,2160,87.145
3,840,2100,89.424
3,900,2160,74.374
3,960,1140,76.891
3,1020,1200,82.105
3,1080,900,80.371
3,1140,1020,81.014
3,1200,840,82.07
3,1260,900,85.052
3,1320,1020,83.731
3,1380,720,78.381
3,1440,960,80.015
3,1500,1200,83.031
3,1560,780,83.627
3,1620,1260,83.463
3,1680,1020,83.051
3,1740,960,83.963
3,1800,1020,84.69
3,1860,1140,84.526
3,1920,1080,84.727
3,1980,960,82.426
3,2040,1020,82.446
3,2100,1140,83.981
3,2160,1200,78.746
3,2220,960,83.081
3,2280,1080,83.337
3,2340,1140,83.111
3,2400,1020,81.886
3,2460,1080,82.208
3,2520,900,84.268
3,2580,1020,83.234
3,2640,1020,82.253
3,2700,1200,82.701
3,2760,960,79.546
3,2820,960,82.519
3,2880,1020,83.052
3,2940,1020,80.843
3,3000,960,82.219
3,3060,1200,83.073
3,3120,1320,77.507
3,3180,1020,83.357
3,3240,960,82.35
3,3300,1200,84.368
3,3360,1080,81.337
3,3420,960,81.554
3,3480,1020,83.459
3,3540,1200,81.858
4,0,360,114.126
4,60,840,110.695
4,120,1560,99.946
4,180,1680,99.269
4,240,1920,99.224
4,300,2100,88.326
4,360,1680,92.279
4,420,1860,87.62
4,480,1740,91.528
4,540,2400,78.714
4,600,2400,79.441
4,660,1620,94.502
4,720,2100,77.652
4,780,2220,82.163
4,840,2160,76.309
4,900,2160,65.385
4,960,1560,73.256
4,1020,1380,79.68
4,1080,1320,77.16
4,1140,1560,76.075
4,1200,1380,73.69
4,1260,1260,77.809
4,1320,1380,74.964
4,1380,1500,78.151
4,1440,1440,75.898
4,1500,1320,79.323
4,1560,1320,76.882
4,1620,1260,80.941
4,1680,1200,75.564
4,1740,1440,77.324
4,1800,1380,76.851
4,1860,1260,77.824
4,1920,1140,75.646
4,1980,1440,76.084
4,2040,1500,78.913
4,2100,1260,77.646
4,2160,1320,73.032
4,2220,1320,78.805
4,2280,1320,80.526
4,2340,1260,76.86
4,2400,1260,74.777
4,2460,1200,74.126
4,2520,1380,77.917
4,2580,1380,77.429
4,2640,1440,75.531
4,2700,1440,76.445
4,2760,1320,76.644
4,2820,1380,76.52
4,2880,1140,73.945
4,2940,1380,77.042
4,3000,1380,80.521
4,3060,1140,79.642
4,3120,1560,70.849
4,3180,1260,76.42
4,3240,1320,77.555
4,3300,1260,77.599
4,3360,1380,74.626
4,3420,1380,81.464
4,3480,1020,77.473
4,3540,1380,74.849
